"","target","Gender","EngineHP","credit_history","Years_Experience","annual_claims","Marital_Status","Vehical_type","Miles_driven_annually","size_of_family","Age_bucket","credit_history_bucket","State"
"1",1,"F",522,656,1,0,"Married","Car",14749,5,"<18","Fair","IL"
"2",1,"F",691,704,16,0,"Married","Car",15389,6,"28-34","Good","NJ"
"3",1,"M",133,691,15,0,"Married","Van",9956,3,">40","Good","CT"
"4",1,"M",146,720,9,0,"Married","Van",77323,3,"18-27","Good","CT"
"5",1,"M",128,771,33,1,"Married","Van",14183,4,">40","Very Good","WY"
"6",1,"F",144,722,18,1,"Married","Truck",12208,8,">40","Good","DE"
"7",1,"F",151,788,31,3,"Married","Truck",13957,2,">40","Very Good","NJ"
"8",1,"F",88,747,21,1,"Single","Car",14200,5,">40","Very Good","ME"
"9",1,"F",653,717,34,0,"Married","Car",17084,1,">40","Good","CA"
"10",0,"F",120,785,19,1,"Married","Truck",6101,1,"35-40","Very Good","NJ"
"11",1,"M",150,836,20,1,"Single","Utility",9485,8,">40","Exceptional","KS"
"12",0,"F",423,718,5,3,"Single","Truck",11898,2,"35-40","Good","CT"
"13",1,"F",104,793,36,1,"Single","Car",12385,6,">40","Very Good","WV"
"14",1,"F",87,577,2,1,"Married","Truck",41473,4,"<18","Very Poor","CT"
"15",1,"M",191,635,5,0,"Single","Car",11869,5,"18-27","Fair","CT"
"16",1,"M",138,734,18,1,"Married","Truck",9280,3,"35-40","Good","NM"
"17",1,"M",94,644,6,2,"Married","Truck",92463,2,"35-40","Fair","SC"
"18",1,"F",82,686,22,1,"Married","Car",6986,4,">40","Good","WY"
"19",1,"M",338,640,1,3,"Married","Car",95547,4,"18-27","Fair","CT"
"20",0,"F",213,733,8,3,"Single","Truck",13484,2,"35-40","Good","CA"
"21",1,"M",86,728,22,1,"Married","Van",12879,1,">40","Good","NJ"
"22",0,"M",137,681,13,1,"Married","Utility",11199,3,"35-40","Good","CT"
"23",1,"M",154,771,24,1,"Married","Van",13608,3,">40","Very Good","ID"
